raceId,driverId,stop,lap,time,duration,milliseconds,compound,pit_duration_ms_x,pit_lap,pit_duration_ms_y,estimated_pit_delta_ms
841,153,1,1,17:05:23,26.898,26898,,26898,,,
841,30,1,1,17:05:52,25.021,25021,,25021,,,
841,17,1,11,17:20:48,23.426,23426,,23426,11.0,23426.0,29399.0
841,4,1,12,17:22:34,23.251,23251,,23251,12.0,23251.0,27206.0
841,13,1,13,17:24:10,23.842,23842,,23842,13.0,23842.0,29430.0
841,22,1,13,17:24:29,23.643,23643,,23643,13.0,23643.0,27931.0
841,20,1,14,17:25:17,22.603,22603,,22603,14.0,22603.0,27290.0
841,814,1,14,17:26:03,24.863,24863,,24863,14.0,24863.0,29923.0
841,816,1,14,17:26:50,25.259,25259,,25259,14.0,25259.0,29496.0
841,67,1,15,17:27:34,25.342,25342,,25342,15.0,25342.0,31077.0
841,2,1,15,17:27:41,22.994,22994,,22994,15.0,22994.0,27086.0
841,1,1,16,17:28:24,23.227,23227,,23227,16.0,23227.0,29607.0
841,808,1,16,17:28:39,24.535,24535,,24535,16.0,24535.0,30928.0
841,3,1,16,17:29:00,23.716,23716,,23716,16.0,23716.0,32197.0
841,155,1,16,17:29:06,24.064,24064,,24064,16.0,24064.0,28733.0
841,16,1,16,17:29:08,25.978,25978,,25978,16.0,25978.0,34221.0
841,15,1,16,17:29:49,24.899,24899,,24899,16.0,24899.0,32255.0
841,18,1,17,17:30:24,16.867,16867,,16867,17.0,16867.0,22834.0
841,153,2,17,17:31:06,24.463,24463,,24463,17.0,24463.0,31381.0
841,5,1,17,17:31:11,24.865,24865,,24865,17.0,24865.0,31410.0
841,30,2,17,17:32:08,23.988,23988,,23988,17.0,23988.0,29264.0
841,10,1,18,17:33:02,23.792,23792,,23792,18.0,23792.0,635394.0
841,18,2,19,17:33:53,23.303,23303,,23303,19.0,23303.0,22350.0
841,815,1,23,17:40:27,23.438,23438,,23438,23.0,23438.0,30391.0
841,22,2,23,17:40:45,37.856,37856,,37856,23.0,37856.0,44816.0
841,17,2,26,17:44:29,22.520,22520,,22520,26.0,22520.0,27441.0
841,4,2,27,17:46:04,24.733,24733,,24733,27.0,24733.0,29262.0
841,22,3,28,17:49:07,16.892,16892,,16892,28.0,16892.0,25610.0
841,67,2,29,17:49:47,23.100,23100,,23100,29.0,23100.0,32295.0
841,2,2,30,17:51:32,25.098,25098,,25098,30.0,25098.0,31776.0
841,13,2,31,17:52:28,24.500,24500,,24500,31.0,24500.0,31208.0
841,155,2,32,17:54:21,24.192,24192,,24192,32.0,24192.0,31318.0
841,20,2,36,17:59:17,24.036,24036,,24036,36.0,24036.0,30760.0
841,1,2,36,17:59:29,23.199,23199,,23199,36.0,23199.0,30320.0
841,153,3,35,17:59:45,26.348,26348,,26348,35.0,26348.0,32156.0
841,808,2,36,17:59:47,25.683,25683,,25683,36.0,25683.0,33353.0
841,814,2,36,18:00:48,24.332,24332,,24332,36.0,24332.0,31830.0
841,18,3,37,18:01:49,22.681,22681,,22681,37.0,22681.0,30848.0
